host_id,host_name,host_since,host_has_profile_pic,host_identity_verified,host_response_rate,room_count,income,daily_income,ave_room_income,is_single,is_best
533062,Warner Beijing,2011-04-25,t,t,0.86,2,87547.70999999999,24.37975772765246,12.18987886382623,t,f
3488642,Chunyu,2012-09-06,t,t,0.0,8,154258.19,49.90559365901003,6.238199207376254,f,f
6993205,Xing,2013-06-19,t,t,1.0,1,36972.86,13.181055258467023,13.181055258467023,t,f
4237084,Washa,2012-11-25,t,t,1.0,1,14601.080000000002,4.84924609764198,4.84924609764198,t,f
5557443,Jade,2013-03-21,t,t,1.0,6,134622.48,46.50172020725389,7.7502867012089816,f,f
4493874,Min,2012-12-26,t,t,1.0,1,3918.0,1.314765100671141,1.314765100671141,t,f
7790897,Zhaohui,2013-07-29,t,t,1.0,1,164066.25,59.33679927667269,59.33679927667269,t,f
729259,George,2011-06-21,t,t,1.0,1,77837.6,22.025353706847767,22.025353706847767,t,f
6532783,Dee,2013-05-23,t,t,1.0,3,755710.3700000001,266.84688206214696,88.94896068738231,t,t
9975678,怡家住宿,2013-11-12,t,t,1.0,1,5641.92,2.121820233170365,2.121820233170365,t,f
5169497,Alexis,2013-02-21,t,t,0.89,1,1906.76,0.652329798152583,0.652329798152583,t,f
10917947,艳虹,2013-12-30,t,t,1.0,1,33224.64,12.724871696667943,12.724871696667943,t,f
11380168,Leslie,2014-01-17,t,t,0.56,1,107314.02,41.38604704974933,41.38604704974933,t,f
4081637,Shiyi,2012-11-07,t,t,1.0,1,38141.73,12.592185539782108,12.592185539782108,t,f
13908836,Pangxiaoliang,2014-04-05,t,t,0.89,2,229464.2,91.2382504970179,45.61912524850895,t,f
14311129,Andrew,2014-04-15,t,t,0.89,1,474489.3900000001,189.41692215568864,189.41692215568864,t,f
14486084,Sng,2014-04-19,t,t,1.0,1,20582.56,8.229732107157139,8.229732107157139,t,f
12339709,Xuan,2014-02-18,t,t,0.89,1,6203.5,2.422295978133542,2.422295978133542,t,f
10116182,Ted,2013-11-19,t,t,0.89,1,7117.7,2.6838989441930616,2.6838989441930616,t,f
17145598,Robin,2014-06-23,t,t,1.0,1,55583.36,22.817471264367818,22.817471264367818,t,f
19941160,Martin,2014-08-13,t,t,0.89,1,8188.62,3.4333836477987423,3.4333836477987423,t,f
11110559,Bob,2014-01-07,t,t,1.0,1,348669.3500000001,133.94903956972726,133.94903956972726,t,f
21345581,北平花园,2014-09-15,t,t,0.89,5,107483.80000000003,45.698894557823145,9.139778911564628,f,f
15874316,Jade,2014-05-22,t,t,1.0,2,69041.69,27.974752836304702,13.987376418152351,t,f
12129374,Lin,2014-02-10,t,t,1.0,1,40198.68,15.647598287271311,15.647598287271311,t,f
22918546,Joyce,2014-10-24,t,t,1.0,1,8639.19,3.7350583657587553,3.7350583657587553,t,f
24787175,Liheng,2014-12-13,t,t,1.0,7,110356.99999999999,48.765797613787,6.966542516255286,f,f
22403478,Lu,2014-10-11,t,t,1.0,2,137887.47999999998,59.280945829750635,29.640472914875318,t,t
25280334,Lai,2014-12-27,t,t,1.0,1,3395.6,1.5098265895953757,1.5098265895953757,t,f
25323900,郑,2014-12-28,t,t,1.0,2,78601.61,34.96512900355872,17.48256450177936,t,t
17133104,Deer,2014-06-23,t,t,0.88,1,83257.5,34.17795566502463,34.17795566502463,t,f
20587694,Shuqun,2014-08-27,t,t,0.89,1,85823.79000000001,36.19729649936736,36.19729649936736,t,f
25729513,Joel,2015-01-07,t,t,1.0,9,1430559.75,639.213471849866,71.02371909442955,f,t
23433047,Doris,2014-11-06,t,t,0.89,1,2285.5,0.9936956521739131,0.9936956521739131,t,f
26561111,式冬,2015-01-22,t,t,0.89,1,4897.5,2.2031039136302293,2.2031039136302293,t,f
26623685,溯,2015-01-24,t,t,1.0,7,135040.40000000002,60.80162089149033,8.685945841641475,f,f
27240167,HoneyCherry,2015-02-04,t,t,0.9,5,113981.15000000001,51.575180995475115,10.315036199095024,f,f
